EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248663141, 157.984815, 7.446123, 18.055, GO14067_LC|GO14012_LC|GO14018_LC
248666674, 158.500187, 7.535396, 17.705, GO14067_LC|GO14012_LC|GO14018_LC
248671305, 160.04851, 7.650188, 18.01, GO14067_LC|GO14012_LC|GO14018_LC
248676218, 161.466861, 7.772091, 18.2, GO14067_LC|GO14012_LC|GO14018_LC
248680268, 153.823463, 7.870028, 16.969, GO14012_LC|GO14018_LC
248682489, 158.934565, 7.923514, 16.24, GO14067_LC|GO14012_LC|GO14018_LC
248691809, 163.947233, 8.145218, 13.916, GO14012_LC|GO14018_LC|GO14018_SC
248695811, 155.183618, 8.23984, 13.427, GO14067_LC|GO14012_LC|GO14018_LC|GO14063_LC|GO14052_LC
248718280, 160.758651, 8.753182, 18.402, GO14067_LC|GO14012_LC|GO14018_LC
248743680, 162.121929, 9.327052, 18.142, GO14067_LC|GO14018_LC
248744078, 161.751885, 9.337385, 18.053, GO14067_LC|GO14012_LC|GO14018_LC
248745301, 159.885832, 9.365522, 17.385, GO14067_LC|GO14012_LC|GO14018_LC
248750733, 160.962007, 9.493158, 18.662, GO14067_LC|GO14012_LC|GO14018_LC|GO14005_LC
248751905, 160.632634, 9.520331, 18.333, GO14067_LC|GO14012_LC|GO14018_LC
248755514, 164.201294, 9.60446, 16.825, GO14012_LC|GO14018_LC
248759672, 159.136377, 9.706072, 18.727, GO14067_LC|GO14012_LC|GO14018_LC
248766826, 161.467895, 9.876228, 17.751, GO14067_LC|GO14012_LC|GO14018_LC
248767646, 160.811245, 9.895591, 17.7, GO14067_LC|GO14012_LC|GO14018_LC
248777799, 154.386846, 10.14621, 18.092, GO14067_LC|GO14012_LC|GO14018_LC
248779449, 159.007869, 10.187454, 18.121, GO14067_LC|GO14012_LC|GO14018_LC
248849283, 159.04222, 11.887527, 18.75, GO14067_LC|GO14012_LC|GO14018_LC
248862470, 160.896182, 12.220825, 17.492, GO14067_LC|GO14012_LC|GO14018_LC|GO14063_LC
248863078, 163.673669, 12.235692, 17.149, GO14067_LC|GO14012_LC|GO14018_LC|GO14052_LC
248864625, 158.287665, 12.274039, 16.491, GO14067_LC|GO14012_LC|GO14018_LC
248891072, 158.713228, 12.977992, 17.51, GO14067_LC|GO14012_LC|GO14018_LC
248908851, 162.47686, 13.517982, 18.529, GO14067_LC|GO14012_LC|GO14018_LC
201885041, 164.120109, 7.01454, 11.585, GO14082_LC|GO14025_LC|GO14067_LC|GO14012_LC|GO14072_LC|GO14018_LC|GO14056_LC|GO14030_LC|GO14063_LC|GO14052_LC|GO14005_LC|GO14082_SC|GO14072_SC
248601792, 163.059258, 5.919405, 13.343, GO14014_LC|GO14072_LC|GO14056_LC|GO14030_LC|GO14063_LC|GO14052_LC|GO14072_SC
248856413, 165.210143, 12.069655, 14.311, GO14072_LC|GO14056_LC|GO14030_LC|GO14052_LC|GO14072_SC
204407831, 239.950087, -22.454525, 15.604, GO15043_LC|GO15067_LC|GO15012_LC|GO15018_LC|GO15065_LC
204594600, 239.700552, -21.692745, 16.008, GO15043_LC|GO15012_LC|GO15018_LC|GO15023_LC
249343675, 230.77739, -23.797955, 15.562, GO15067_LC|GO15012_LC|GO15018_LC|GO15065_LC|GO15018_SC
249472713, 233.289076, -22.08526, 15.162, GO15012_LC|GO15018_LC
249639465, 226.865825, -20.011995, 13.206, GO15067_LC|GO15012_LC|GO15018_LC|GO15005_LC|GO15065_LC|GO15018_SC
249903099, 237.243085, -16.600517, 15.231, GO15067_LC|GO15012_LC|GO15018_LC|GO15065_LC|GO15018_SC
249914869, 226.948719, -16.460728, 14.172, GO15012_LC|GO15018_LC|GO15063_LC|GO15065_LC|GO15018_SC
211411366, 130.109247, 11.812298, 17.421, GO16012_LC|GO16018_LC
211439338, 133.995134, 12.235982, 18.875, GO16012_LC|GO16018_LC
211458709, 132.643729, 12.533139, 17.127, GO16012_LC|GO16018_LC
211460625, 133.417297, 12.561251, 16.814, GO16012_LC|GO16018_LC
211464826, 133.20849, 12.626325, 17.73, GO16012_LC|GO16018_LC
211467731, 134.008805, 12.67086, 18.322, GO16012_LC|GO16018_LC|GO16067_LC
211478560, 130.870911, 12.829493, 17.664, GO16012_LC|GO16018_LC
211493031, 131.375327, 13.039326, 17.924, GO16012_LC|GO16018_LC
211563696, 130.957636, 14.034815, 17.946, GO16012_LC|GO16018_LC
211616100, 132.912928, 14.759133, 15.628, GO16012_LC|GO16018_LC
211631830, 131.86783, 14.982729, 17.854, GO16012_LC|GO16018_LC
211646606, 129.548139, 15.187642, 18.199, GO16018_LC|GO16067_LC
211707676, 130.22681, 16.016886, 16.786, GO16012_LC|GO16018_LC|GO16022_LC|GO16060_LC
211738457, 130.458106, 16.444883, 18.062, GO16012_LC|GO16018_LC
211740609, 129.618772, 16.475046, 18.48, GO16005_LC|GO16012_LC|GO16018_LC
211742071, 130.421667, 16.496342, 17.567, GO16012_LC|GO16018_LC
211758584, 133.409548, 16.728647, 16.741, GO16012_LC|GO16018_LC
211759353, 131.189545, 16.739414, 18.9, GO16012_LC|GO16018_LC|GO16031_LC|GO16060_LC
211770368, 130.122553, 16.895355, 18.634, GO16012_LC|GO16018_LC
211845911, 133.110979, 17.961969, 18.812, GO16012_LC|GO16018_LC
211847385, 129.804079, 17.981707, 17.353, GO16012_LC|GO16018_LC
